,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
808,HIP 70849 b,HIP 70849,Radial Velocity,0,17337.5,20.25,1.12,9.0,0.715,,,0,235.0,K7 V,0.63,0.63,14h29m18.50s,217.3270762,-46d27m52.86s,-46.464684,24.0572,41.5387,9.69796,50964.905460472575
809,HIP 71135 b,HIP 71135,Radial Velocity,0,87.19,0.335,0.406,0.05915,0.21,,,0,3.71,M1,0.68,0.66,14h32m51.79s,218.2158073,-52d38m47.31s,-52.6464757,32.3311,30.9011,9.95835,1079.146398835686
810,HIP 74890 b,HIP 74890,Radial Velocity,0,822.3,2.1,1.18,2.4,0.07,,,0,36.5,K1 III,5.77,1.74,15h18m17.16s,229.5714974,-41d25m15.95s,-41.4210961,78.6562,12.6848,6.75234,1037.5445466235403
811,HIP 75092 b,HIP 75092,Radial Velocity,0,926.4,2.02,1.2,1.79,0.42,,,0,34.8,K0 III,4.53,1.28,15h20m41.38s,230.1724206,-25d59m27.79s,-25.9910525,81.6696,12.2161,6.82953,1327.6521646310946
812,HIP 79431 b,HIP 79431,Radial Velocity,0,111.7,0.36,1.19,2.1,0.29,,,0,149.5,M3 V,0.48,0.49,16h12m41.82s,243.1742467,-18d52m35.13s,-18.8764247,14.5324,68.7833,10.2351,3453.9793555015485
813,HIP 8541 b,HIP 8541,Radial Velocity,0,1560.2,2.8,1.14,5.5,0.16,,,0,87.4,K2 III/IV,7.83,1.17,01h50m06.53s,27.5271962,-54d27m54.59s,-54.4651633,155.121,6.41777,7.56075,1050.5370268428778
814,HIP 86221 b,HIP 86221,Radial Velocity,0,2.224,0.031,1.25,0.71,0.086,,,0,129.6,K5 V,,0.79,17h37m10.77s,264.294875,+27d53m47.01s,27.896391,29.4898,33.91,,90.93944913661821
815,HIP 90988 b,HIP 90988,Radial Velocity,0,453.9,1.26,1.2,1.96,0.08,,,0,43.6,K1 III,3.94,1.3,18h33m33.43s,278.3892816,-50d12m42.09s,-50.211692,94.0349,10.6057,7.46648,709.2638717843604
816,HIP 91258 b,HIP 91258,Radial Velocity,0,5.0505,0.06,1.23,1.09,0.02,,,0,130.9,G5 V,0.89,0.97,18h36m53.07s,279.2211173,+61d42m05.42s,61.7015065,45.8846,21.7649,8.45032,88.0630715786056
817,HIP 97166 c,HIP 97166,Radial Velocity,0,16.84,0.124,0.278,0.03115,0.25,,2458988.4,0,2.8,K0 V,0.84,0.9,19h44m58.71s,296.2446203,+74d03m46.29s,74.0628577,65.9501,15.1341,9.68443,143.74848579630327
